评论日期,评论者昵称,性别,所在城市,猫眼等级,评分,评论内容
2018-10-01,hty489861454,0,上海,4,5.0,画面真的很有心特别，背景大气，看的时候偶有分心，所以剧情节奏还需要打磨，整体意义还不错没有真身也有影子，互为影子，最后影子被影响成真人，每个人内心住着一个影子。
2018-10-01,食客liu2012,0,海口,3,4.0,一般般吧，都是黑白的。
2018-10-01,oIC196074666,0,临海,2,5.0,超哥的演技是真的好👍👍👍
2018-10-01,lmH802702390,0,玉林,3,4.5,邓超演两个角色，情节起伏变化，不错，就是场面血腥
2018-10-01,leon唐,1,成都,4,4.5,总的来说是非常值得一看的！我现在越来越搞不懂猫眼评分，什么摩天营救战狼这些简单粗暴刺激不费脑子的电影评分都高，稍微需要点耐心或者细品的电影评分都低的吓人，横向来比《影》的评分居然低于《摩天营救》就真的让人无法接受了。简直像极了《延禧攻略》和《如懿传》了间的观众口碑，这也说明很多观众确实看作品不用脑子只喜欢纯爽片。
2018-10-01,Ekq453385303,0,辛集,3,5.0,顶下邓超。。
2018-10-01,刘先生,0,盐城,2,5.0,好多年没看到这么有深度的电影了
2018-10-01,wud544581473,0,无锡,3,4.0,还可以吧！老谋子的电影
2018-10-01,꯭ ꯭ ꯭ ꯭ ꯭ ꯭ ꯭ ꯭ ꯭ ꯭,0,深圳,1,5.0,深圳宝安这边没有几家上映，而且场次很少
2018-10-01,碇真嗣,1,襄阳,4,4.5,看的懂的部分给七分，看不懂的影与音各一分
2018-10-01,木子710228,0,宿迁,3,4.0,总体还好，故事连贯。有伏笔，有意外。稍血腥了些
2018-10-01,猪尾巴花开噢,0,贵阳,3,4.0,邓超演技在线
2018-10-01,球球老师,2,南京,2,5.0,张艺谋电影拍的是最写意的。
